[Fri Mar 31 19:39:41.009305 2017] [:error] [pid 27142] [client 127.0.0.1:52525] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:39:41.009312 2017] [:error] [pid 27142] [client 127.0.0.1:52525] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:39:41.009315 2017] [:error] [pid 27142] [client 127.0.0.1:52525] PHP   2. usleep() /var/www/html/poc/http_long_polling/ajax_polling_long.php:9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:40:26.167260 2017] [:error] [pid 27333] [client 127.0.0.1:52534] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 8, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:40:26.167320 2017] [:error] [pid 27333] [client 127.0.0.1:52534] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:40:26.167328 2017] [:error] [pid 27333] [client 127.0.0.1:52534] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:40:59.486266 2017] [:error] [pid 27345] [client 127.0.0.1:52626] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:40:59.486318 2017] [:error] [pid 27345] [client 127.0.0.1:52626] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:40:59.486328 2017] [:error] [pid 27345] [client 127.0.0.1:52626] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:40:59.486332 2017] [:error] [pid 27345] [client 127.0.0.1:52626] PHP   2. usleep() /var/www/html/poc/http_long_polling/ajax_polling_long.php:9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:44:31.582265 2017] [:error] [pid 27356] [client 127.0.0.1:52696] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:44:31.582313 2017] [:error] [pid 27356] [client 127.0.0.1:52696] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:44:31.582323 2017] [:error] [pid 27356] [client 127.0.0.1:52696] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:44:31.582326 2017] [:error] [pid 27356] [client 127.0.0.1:52696] PHP   2. usleep() /var/www/html/poc/http_long_polling/ajax_polling_long.php:9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:45:05.718251 2017] [:error] [pid 27481] [client 127.0.0.1:52715] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:45:05.718289 2017] [:error] [pid 27481] [client 127.0.0.1:52715] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:45:05.718297 2017] [:error] [pid 27481] [client 127.0.0.1:52715] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:45:05.718300 2017] [:error] [pid 27481] [client 127.0.0.1:52715] PHP   2. usleep() /var/www/html/poc/http_long_polling/ajax_polling_long.php:9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:45:38.213254 2017] [:error] [pid 27365] [client 127.0.0.1:52698] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 8, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:45:38.213293 2017] [:error] [pid 27365] [client 127.0.0.1:52698] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:45:38.213298 2017] [:error] [pid 27365] [client 127.0.0.1:52698] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:46:16.013278 2017] [:error] [pid 27509] [client 127.0.0.1:52716] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:46:16.013318 2017] [:error] [pid 27509] [client 127.0.0.1:52716] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:46:16.013324 2017] [:error] [pid 27509] [client 127.0.0.1:52716] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:48:05.038280 2017] [:error] [pid 27667] [client 127.0.0.1:52724] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:48:05.038337 2017] [:error] [pid 27667] [client 127.0.0.1:52724] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:48:05.038348 2017] [:error] [pid 27667] [client 127.0.0.1:52724] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:48:34.119256 2017] [:error] [pid 27746] [client 127.0.0.1:52737] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:48:34.119302 2017] [:error] [pid 27746] [client 127.0.0.1:52737] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
